,Date,W/L,Attendance,Location
0,2015-04-06,W,45909,home
1,2015-04-07,L,26545,home
2,2015-04-08,L,25495,home
9,2015-04-17,L,36606,home
10,2015-04-18,W,43017,home
11,2015-04-19,W-wo,31601,home
12,2015-04-20,L,15129,home
13,2015-04-21,L,13949,home
14,2015-04-22,W,14756,home
15,2015-04-24,W,25215,home
16,2015-04-25,L,33566,home
17,2015-04-26,L,35242,home
28,2015-05-08,W-wo,25187,home
29,2015-05-09,W,37441,home
30,2015-05-10,W,42831,home
31,2015-05-12,W,16148,home
32,2015-05-13,L,14547,home
33,2015-05-14,L,20172,home
34,2015-05-15,W-wo,39477,home
35,2015-05-16,L,45055,home
36,2015-05-17,W,39936,home
46,2015-05-28,L,19449,home
47,2015-05-29,W,32454,home
48,2015-05-30,L,32287,home
49,2015-05-31,L &V,32112,home
50,2015-06-01,L,26082,home
51,2015-06-02,L,27442,home
52,2015-06-03,L,32701,home
53,2015-06-04,L,16096,home
54,2015-06-05,L,20695,home
55,2015-06-06,W,31106,home
56,2015-06-07,L,27906,home
65,2015-06-17,W,34844,home
66,2015-06-18,L,34354,home
67,2015-06-19,W,40914,home
68,2015-06-20,W,26770,home
69,2015-06-21,L,40905,home
70,2015-06-22,L,23588,home
71,2015-06-23,W,17460,home
72,2015-06-24,L,23392,home
82,2015-07-06,L,22580,home
83,2015-07-07,W-wo,21782,home
84,2015-07-08,L,26488,home
85,2015-07-09,W,28131,home
86,2015-07-10,L,29679,home
87,2015-07-11,W,40765,home
88,2015-07-12,L,36955,home
96,2015-07-24,W,43328,home
97,2015-07-25,L,45027,home
98,2015-07-26,W-wo,35159,home
99,2015-07-27,L,19532,home
100,2015-07-28,L,25106,home
101,2015-07-29,L,32502,home
109,2015-08-07,W,29320,home
110,2015-08-08,L,39132,home
111,2015-08-09,W,29939,home
112,2015-08-10,L,20839,home
113,2015-08-11,W-wo,24863,home
114,2015-08-12,W,25661,home
121,2015-08-21,L,35770,home
122,2015-08-22,L,32085,home
123,2015-08-23,W,30537,home
124,2015-08-24,L,17970,home
125,2015-08-25,W,17498,home
126,2015-08-26,W,23338,home
137,2015-09-07,L,18469,home
138,2015-09-08,L,13389,home
139,2015-09-09,W,14330,home
140,2015-09-10,W,16842,home
141,2015-09-11,L,19876,home
142,2015-09-12,W,24743,home
143,2015-09-13,L,21840,home
144,2015-09-14,W,13681,home
145,2015-09-15,L,15365,home
146,2015-09-16,W,16176,home
156,2015-09-28,L,13935,home
157,2015-09-29,W,15331,home
158,2015-09-30,L,14257,home
159,2015-10-02,L,26130,home
160,2015-10-03,L,24448,home
161,2015-10-04,W,22402,home
